Date,Open,High,Low,Close,Volume,Adj Close
2012-07-31,10.40,10.40,10.16,10.33,1760300,10.33
2012-07-30,10.29,10.48,10.29,10.42,1119000,10.42
2012-07-27,10.03,10.34,10.00,10.31,1646600,10.31
2012-07-26,10.10,10.10,9.93,10.02,1038600,10.02
2012-07-25,10.16,10.24,9.98,10.00,1063900,10.00
2012-07-24,10.14,10.17,9.93,10.13,1436000,10.13
2012-07-23,10.11,10.21,9.92,10.14,1567300,10.14
2012-07-20,10.29,10.30,10.15,10.18,1210000,10.18
2012-07-19,10.36,10.54,10.18,10.31,2232700,10.31
2012-07-18,11.57,11.65,10.28,10.44,4686700,10.44
2012-07-17,11.89,11.93,11.63,11.74,1391100,11.74
2012-07-16,11.77,11.90,11.76,11.87,1030100,11.87
2012-07-13,11.72,11.82,11.68,11.77,987800,11.77
2012-07-12,11.69,11.84,11.58,11.71,1135600,11.71
2012-07-11,11.89,12.00,11.82,11.85,518000,11.85
2012-07-10,11.85,11.97,11.81,11.89,775400,11.89
2012-07-09,11.84,11.88,11.67,11.83,1042900,11.83
2012-07-06,11.60,11.95,11.57,11.85,942300,11.85
2012-07-05,11.96,12.02,11.61,11.61,1271100,11.61
2012-07-03,11.91,12.02,11.87,12.00,300200,12.00
2012-07-02,11.92,11.93,11.70,11.89,687500,11.89
